time,lon,lat,depth,mag
2022-11-23T08:53:12.433000Z,-71.3578,-35.3861,82.461,5.0
2022-11-23T07:36:15.783000Z,-71.3304,-33.5663,43.881,4.0
2022-11-23T04:07:18.002000Z,-70.4767,-15.5585,211.536,4.5
2022-11-22T22:15:33.188000Z,-71.3773,-28.8023,35.135,4.1
2022-11-22T05:17:52.130000Z,-70.4926,-14.4424,56.979,4.5
2022-11-22T02:11:26.465000Z,-69.7715,-31.6952,148.659,4.2
2022-11-21T21:41:13.816000Z,-67.161,-24.1661,206.327,4.4
2022-11-20T22:17:38.998000Z,-66.5878,-27.8935,152.19,4.9
2022-11-20T10:46:03.093000Z,-68.6134,-21.2238,119.746,4.1
2022-11-19T15:27:15.678000Z,-68.6549,-19.3274,138.781,4.2
2022-11-19T07:44:36.465000Z,-71.8444,-32.4265,24.758,4.5
2022-11-19T06:50:58.517000Z,-70.9345,-17.8092,76.253,4.5
2022-11-19T05:23:56.129000Z,-71.735,-32.4264,35.594,4.6
2022-11-19T05:13:33.481000Z,-71.0635,-33.2575,74.738,4.6
2022-11-19T03:02:49.069000Z,-71.7809,-6.2889,584.682,4.1
2022-11-17T17:51:00.865000Z,-69.9111,-18.4352,90.015,4.0
2022-11-17T04:19:50.567000Z,-78.0757,-1.9227,139.853,5.1
2022-11-17T01:42:51.443000Z,-69.9035,-21.3217,48.341,4.0
2022-11-16T16:29:35.960000Z,-69.3639,-23.6138,78.19,4.2
2022-11-16T05:55:22.496000Z,-77.6103,-1.5604,180.482,4.5
2022-11-15T17:26:21.331000Z,-71.3422,-30.6367,51.958,4.6
2022-11-15T14:47:35.965000Z,-69.7204,-31.6497,109.048,4.3
2022-11-15T12:12:30.281000Z,-67.3022,-30.3073,26.086,4.0
2022-11-15T04:37:36.390000Z,-76.4188,-14.6989,10.0,4.6
2022-11-15T02:43:23.056000Z,-72.0023,-33.2141,24.587,4.3
2022-11-14T22:43:04.451000Z,-66.853,-24.2566,177.847,4.3
2022-11-14T06:26:35.055000Z,-70.2242,-20.8189,77.398,3.5
2022-11-13T22:05:40.595000Z,-72.0615,-32.1101,21.748,4.2
2022-11-13T20:54:59.327000Z,-72.1139,-32.0798,10.0,4.5
2022-11-13T15:25:59.993000Z,-73.8571,-37.5022,25.145,4.3
2022-11-13T03:00:43.864000Z,-73.719,-37.4487,16.552,5.0
2022-11-13T02:24:57.830000Z,-73.6751,-37.4653,18.0,6.2
2022-11-13T02:24:01.039000Z,-73.766,-37.5518,20.682,6.2
2022-11-12T23:36:59.829000Z,-66.8209,-23.4166,245.124,3.9
2022-11-12T21:32:45.514000Z,-66.195,-22.6275,260.338,4.0
2022-11-12T02:48:05.297000Z,-68.753,-21.9585,128.94,4.2
2022-11-11T12:34:45.866000Z,-71.428,-8.612,626.976,4.9
2022-11-11T10:14:59.642000Z,-67.4616,-28.6794,126.601,4.3
2022-11-11T00:15:26.976000Z,-70.4945,-33.294,97.507,3.8
2022-11-09T21:33:42.487000Z,-69.7704,-18.2382,125.445,4.3
2022-11-09T01:15:09.885000Z,-80.5506,-4.2397,49.116,5.1
2022-11-08T18:04:47.987000Z,-67.4908,-21.182,178.062,4.1
2022-11-08T12:05:34.155000Z,-68.4804,-29.891,10.0,4.0
